,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
375,filter17$\longleftrightarrow$filter54,3283,M1605_1.02,0.0410179,M6336_1.02,0.00340884,198.0,78.0,88.0,97.0,0.0016105673728418,0.0134848382969962,SOX1,MAZ,SOX1$\longleftrightarrow$MAZ,Sox,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Sox
381,filter17$\longleftrightarrow$filter148,3377,M1605_1.02,0.0410179,M0608_1.02,0.00321805,228.0,282.0,104.0,264.0,0.0017841878662619,0.014432028281719,SOX1,MLL,SOX1$\longleftrightarrow$MLL,Sox,CxxC,Sox$\longleftrightarrow$CxxC
392,filter19$\longleftrightarrow$filter43,3633,M0756_1.02,0.0167464,M6482_1.02,0.00300843,72.0,300.0,207.0,310.0,0.0007466726204262,0.0080834014152567,FOXN3,SP7,FOXN3$\longleftrightarrow$SP7,Forkhead,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Forkhead
393,filter19$\longleftrightarrow$filter44,3634,M0756_1.02,0.0167464,M0607_1.02,0.00640584,270.0,36.0,119.0,144.0,0.0048497208885753,0.0288144957422727,FOXN3,KDM2B,FOXN3$\longleftrightarrow$KDM2B,Forkhead,CxxC,Forkhead$\longleftrightarrow$CxxC
394,filter19$\longleftrightarrow$filter54,3644,M0756_1.02,0.0167464,M6336_1.02,0.00340884,240.0,330.0,197.0,119.0,0.0037445484997614,0.0241207594847048,FOXN3,MAZ,FOXN3$\longleftrightarrow$MAZ,Forkhead,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Forkhead
399,filter19$\longleftrightarrow$filter96,3686,M0756_1.02,0.0167464,M4604_1.02,0.00127604,372.0,480.0,232.0,242.0,0.0093369291280559,0.0455135266511652,FOXN3,ZNF263,FOXN3$\longleftrightarrow$ZNF263,Forkhead,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Forkhead
401,filter19$\longleftrightarrow$filter103,3693,M0756_1.02,0.0167464,M0609_1.02,0.00127235,540.0,192.0,222.0,226.0,0.0063757864050515,0.0348531312878337,FOXN3,DNMT1,FOXN3$\longleftrightarrow$DNMT1,Forkhead,CxxC,Forkhead$\longleftrightarrow$CxxC
403,filter19$\longleftrightarrow$filter118,3708,M0756_1.02,0.0167464,M0891_1.02,0.0151094,210.0,192.0,124.0,273.0,0.0037352150019094,0.0240996459494146,FOXN3,TLX2,FOXN3$\longleftrightarrow$TLX2,Forkhead,Homeodomain,Forkhead$\longleftrightarrow$Homeodomain
405,filter19$\longleftrightarrow$filter131,3721,M0756_1.02,0.0167464,M1668_1.02,0.00410157,78.0,246.0,231.0,321.0,0.0012273653435733,0.0111807504451226,FOXN3,PRKRIR,FOXN3$\longleftrightarrow$PRKRIR,Forkhead,THAP finger,Forkhead$\longleftrightarrow$THAP finger
406,filter19$\longleftrightarrow$filter143,3733,M0756_1.02,0.0167464,M0632_1.02,0.00176282,138.0,444.0,171.0,334.0,0.0063310062466523,0.0346845711167093,FOXN3,DMRTA2,FOXN3$\longleftrightarrow$DMRTA2,Forkhead,DM,Forkhead$\longleftrightarrow$DM
419,filter20$\longleftrightarrow$filter131,3900,M1605_1.02,0.0385082,M1668_1.02,0.00410157,36.0,42.0,204.0,222.0,0.0010554376663396,0.0101432427631691,SOX1,PRKRIR,SOX1$\longleftrightarrow$PRKRIR,Sox,THAP finger,Sox$\longleftrightarrow$THAP finger
425,filter22$\longleftrightarrow$filter38,4162,M6446_1.02,0.0178944,M4459_1.02,0.0184776,216.0,258.0,278.0,225.0,8.792443988656704e-07,7.111871970987444e-05,RARG,EGR1,RARG$\longleftrightarrow$EGR1,Nuclear receptor,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Nuclear receptor
428,filter22$\longleftrightarrow$filter44,4168,M6446_1.02,0.0178944,M0607_1.02,0.00640584,222.0,324.0,140.0,158.0,0.0021112972829037,0.0160636322468358,RARG,KDM2B,RARG$\longleftrightarrow$KDM2B,Nuclear receptor,CxxC,Nuclear receptor$\longleftrightarrow$CxxC
429,filter22$\longleftrightarrow$filter53,4177,M6446_1.02,0.0178944,M6547_1.02,0.0102349,528.0,222.0,287.0,190.0,0.0092828896553844,0.0453056017568898,RARG,ZFX,RARG$\longleftrightarrow$ZFX,Nuclear receptor,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Nuclear receptor
430,filter22$\longleftrightarrow$filter54,4178,M6446_1.02,0.0178944,M6336_1.02,0.00340884,528.0,42.0,274.0,122.0,8.28547821101982e-06,0.000345627768224,RARG,MAZ,RARG$\longleftrightarrow$MAZ,Nuclear receptor,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Nuclear receptor
437,filter22$\longleftrightarrow$filter111,4235,M6446_1.02,0.0178944,M1963_1.02,0.0136401,24.0,426.0,297.0,217.0,0.0059233211241493,0.0330748617670635,RARG,ZFY,RARG$\longleftrightarrow$ZFY,Nuclear receptor,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Nuclear receptor
438,filter22$\longleftrightarrow$filter112,4236,M6446_1.02,0.0178944,M2314_1.02,0.0391061,408.0,84.0,293.0,243.0,0.0057574353975433,0.0324536684250192,RARG,SP2,RARG$\longleftrightarrow$SP2,Nuclear receptor,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Nuclear receptor
441,filter22$\longleftrightarrow$filter131,4255,M6446_1.02,0.0178944,M1668_1.02,0.00410157,336.0,18.0,331.0,356.0,4.966234916895197e-06,0.0002369126862274,RARG,PRKRIR,RARG$\longleftrightarrow$PRKRIR,Nuclear receptor,THAP finger,Nuclear receptor$\longleftrightarrow$THAP finger
442,filter22$\longleftrightarrow$filter148,4272,M6446_1.02,0.0178944,M0608_1.02,0.00321805,288.0,342.0,303.0,351.0,2.8174987817437015e-05,0.0007940876878064,RARG,MLL,RARG$\longleftrightarrow$MLL,Nuclear receptor,CxxC,Nuclear receptor$\longleftrightarrow$CxxC
454,filter26$\longleftrightarrow$filter44,4866,M0891_1.02,0.00425164,M0607_1.02,0.00640584,42.0,36.0,96.0,133.0,0.0092355686743997,0.0451486483695655,TLX2,KDM2B,TLX2$\longleftrightarrow$KDM2B,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
455,filter26$\longleftrightarrow$filter54,4876,M0891_1.02,0.00425164,M6336_1.02,0.00340884,216.0,312.0,145.0,97.0,2.9303921864894405e-05,0.0008132995230749,TLX2,MAZ,TLX2$\longleftrightarrow$MAZ,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
465,filter26$\longleftrightarrow$filter148,4970,M0891_1.02,0.00425164,M0608_1.02,0.00321805,228.0,198.0,165.0,289.0,0.0035494203045867,0.0231847772659889,TLX2,MLL,TLX2$\longleftrightarrow$MLL,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
479,filter32$\longleftrightarrow$filter54,5893,M1007_1.02,0.00307474,M6336_1.02,0.00340884,36.0,120.0,221.0,114.0,2.3015587740692605e-06,0.0001375267762355,HOXA11,MAZ,HOXA11$\longleftrightarrow$MAZ,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
483,filter32$\longleftrightarrow$filter89,5928,M1007_1.02,0.00307474,M0632_1.02,0.00514261,426.0,24.0,182.0,285.0,0.0032236333912647,0.0216336786574656,HOXA11,DMRTA2,HOXA11$\longleftrightarrow$DMRTA2,Homeodomain,DM,DM$\longleftrightarrow$Homeodomain
487,filter32$\longleftrightarrow$filter96,5935,M1007_1.02,0.00307474,M4604_1.02,0.00127604,132.0,30.0,271.0,250.0,0.0008831033208194,0.0090318052258552,HOXA11,ZNF263,HOXA11$\longleftrightarrow$ZNF263,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
489,filter32$\longleftrightarrow$filter103,5942,M1007_1.02,0.00307474,M0609_1.02,0.00127235,96.0,24.0,258.0,224.0,0.0066836286710609,0.0359726381652073,HOXA11,DNMT1,HOXA11$\longleftrightarrow$DNMT1,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
490,filter32$\longleftrightarrow$filter111,5950,M1007_1.02,0.00307474,M1963_1.02,0.0136401,132.0,36.0,254.0,203.0,0.0043726922595987,0.0268625596114528,HOXA11,ZFY,HOXA11$\longleftrightarrow$ZFY,Homeodomain,C2H2 ZF,C2H2 ZF$\longleftrightarrow$Homeodomain
493,filter32$\longleftrightarrow$filter131,5970,M1007_1.02,0.00307474,M1668_1.02,0.00410157,456.0,48.0,289.0,328.0,1.7219646576920855e-05,0.0005748935026637,HOXA11,PRKRIR,HOXA11$\longleftrightarrow$PRKRIR,Homeodomain,THAP finger,Homeodomain$\longleftrightarrow$THAP finger
494,filter32$\longleftrightarrow$filter148,5987,M1007_1.02,0.00307474,M0608_1.02,0.00321805,222.0,114.0,261.0,329.0,0.0001705681660143,0.002928356658631,HOXA11,MLL,HOXA11$\longleftrightarrow$MLL,Homeodomain,CxxC,CxxC$\longleftrightarrow$Homeodomain
